der Mitarbeiter, - ;trabajador(a) m (f),empleado(-a) m (f),colaborador(a) m (f);Unsere Firma hat sieben Mitarbeiter.  
miteinander;el uno con el otro,juntos;Sprechen Sie bitte miteinander.
das Mitglied, -er ;miembro m,afiliado(-a) m (f) a,militante mf,socio(-a) m (f);Sind Sie Mitglied in unserem Verein?
die Mitte;medio m,mitad f,centro m;1. Wo möchten Sie sitzen? – In der Mitte. 2. Bis Mitte der Woche bin ich fertig. 3. Ich habe Urlaub bis Mitte August. 4. Den Schrank stellen wir ans Fenster,den Tisch in die Mitte.
mitteilen, teilt mit, teilte mit, hat mitgeteilt;comunicar, informar de;Den Prüfungstermin teilen wir Ihnen noch mit.
das Mittel, -;medio m,medida f,remedio m,medicamento m,fondos m pl,recursos m pl,media f;Haben Sie ein Mittel gegen Magenschmerzen? Der Arzt hat mir ein Mittel gegen Grippe verschrieben. Das neue Waschmittel ist sehr gut.
mitten;"";Wir haben eine Wohnung mitten in der Stadt. Das Flugzeug hatte Verspätung. Wir sind erst mitten in der Nacht angekommen.
mittler-;"";In den mittleren Reihen sind noch Plätze frei.
 das Möbel, -;mueble m;Wir haben uns neue Möbel gekauft. 
möbliert ;"";Ich suche ein möbliertes Zimmer.
das Mobiltelefon, -e;teléfono m móvil,móvil m;Wir können Ihnen einen günstigen Vertrag für Ihr Mobiltelefon anbieten.
die Mode, -n;moda f;Wie findest du die neue Mode? Welche Farbe ist denn jetzt gerade in Mode?
das Modell, -e;modelo m,modelo mf,maqueta f;Wie findest du dieses Auto? – Dieses Modell gefällt mir nicht.
modern;pudrirse, descomponerse,moderno;Die Wohnung ist modern eingerichtet. Das Stadtzentrum von Frankfurt ist ganz modern.
mögen, mag, mochte, hat gemocht;querer, desear,querer,poder,ser posible;Ich mag keinen Reis. Möchtest du noch ein Stück Kuchen? Ich möchte gern Herrn Schmidt sprechen. Herr Müller, Sie möchten bitte sofort zum Chef kommen.
möglich ;posible,factible, realizable;Kann ich bitte sofort einen Termin haben? – Das ist leider nicht möglich.
die Möglichkeit, -en;posibilidad f de,oportunidad f de;Sie wollen ans Meer? Da gibt es mehrere Möglichkeiten.
möglichst;a ser posible, si es posible;Sagen Sie mir bitte möglichst bald, ob Ihnen der Termin passt. Wir suchen eine Wohnung, möglichst im Erdgeschoss.
der Moment, -e;momento m,factor m;Warten Sie bitte einen Moment. Einen Moment bitte.
der Mond, -e ;luna f;Bei Vollmond kann ich nicht schlafen.
der Monitor, -e;monitor m,pantalla f,monitor m de radiación;Ich habe mir einen größeren Monitor gekauft. Der ist besser für meine Augen.
der Motor, -en ;motor m;Der Motor ist kaputt. Das Auto fährt nicht mehr.
"das Motorrad, -""er";moto(cicleta) f;Oskar fährt jeden Tag mit dem Motorrad zur Arbeit.
müde;cansado,fané veraltet Arg;Ich bin müde. Ich gehe schlafen.
die Mühe;esfuerzo m,pena f,molestia f,trabajo m;1. Vielen Dank für Ihre Mühe. 2. Du musst dir in der Schule ein bisschen mehr Mühe geben.
der Müll;basura f,desperdicios m pl,residuos m pl;1. Wirf doch bitte die Dosen in den Müll! 2. Wir müssen den Müll trennen!
die Müllabfuhr ;recogida f de basuras;Wann kommt die Müllabfuhr? 
der Mülleimer, - ;cubo m de (la) basura,tacho m CSur;Wirf das bitte in den Mülleimer! 
die Mülltonne, -n;cubo m de (la) basura;Die Mülltonne ist voll. 
der Sperrmüll;basura f voluminosa;Das alte Sofa muss auf den Sperrmüll. 
"der Mund, -""er";boca f;Sie haben Halsschmerzen? Bitte machen Sie mal den Mund auf.
mündlich;oral,verbalmente;Die mündliche Prüfung ist erst nächste Woche.
die Münze, -n ;moneda f;Der Automat nimmt nur Münzen.
das Museum, Museen;museo m;Wir waren mit unserer Klasse im Museum.
die Musik;música f;1. Wie findest du die Musik? 2. Spanische Musik mag ich sehr. 3. Was für Musik hörst du gern?
der Musiker, - ;músico(-a) m (f);Mein Bruder möchte Musiker werden.
der Muskel, -n;músculo m;Im Fitness-Studio trainieren wir unsere Muskeln.
müssen, muss, musste, hat gemusst/... müssen;tener que +inf,hay que +inf,ser necesario +inf,deber +inf;1. Wie lange müssen Sie arbeiten? 2. Sie müssen die Miete pünktlich überweisen. 3. Ich muss jeden Tag von 8 bis 18 Uhr arbeiten. 4. Du musst mich nicht abholen. Nur wenn du willst.
der Mut;valor m;Man braucht viel Mut, um in einem fremden Land ganz neu anzufangen.
mutig;valiente, valeroso;Es war sehr mutig von dir, deine Meinung laut zu sagen.
"die Mutter, -""";madre f,tuerca f;1. Meine Mutter heißt Klara. 2. Dieser Raum ist für Mütter mit kleinen Kindern reserviert.
nach;hacia, a,a,con destino a, para,después de,y,según, conforme a;1. Ich fahre morgen nach Hamburg. 2. Ich muss jetzt nach Hause. 3. Wir treffen uns nach dem Essen. 4. Es ist schon nach acht. Wir müssen
der Nachbar, -n;vecino(-a) m (f);uns beeilen. Unsere neuen Nachbarn sind sehr nett.
nachdem;después de +inf,después de que +subj;Nachdem wir gegessen hatten, sind wir spazieren gegangen.
nachdenken, denkt nach, dachte nach, hat nachgedacht;reflexionar sobre,pensar en;Ich weiß nicht, was ich machen soll. Ich muss nachdenken.
nachher;después,luego;Ich rufe nachher noch mal an.
nachholen, holt nach, holte nach, hat nachgeholt;hacer venir,buscar más tarde,recuperar;1. Ich möchte gerne meine Familie nach Deutschland nachholen. 2. Sie können die Prüfung nächsten Monat nachholen.
die Nachricht, -en;noticia f,noticias f pl;1. Ich habe eine gute Nachricht für Sie. Sie haben die Prüfung bestanden.2. Ich habe im Radio die Nachrichten gehört.3. Im Moment bin ich nicht zu Hause. Aber Sie können eine Nachricht hinterlassen.
nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen;buscar,consultar;Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.
die Nachspeise, -n;postre m;Was möchten Sie als Nachspeise?
 der Nachteil, -e;inconveniente m,desventaja f,perjuicio m,daño m;Einen Nachteil hat die Wohnung. Sie liegt nicht zentral.
der Nachtisch ;postre m;Was gibt es zum Nachtisch?
die Nadel, -n;aguja f,alfiler m,horquilla f;Hast du eine Nadel für mich? Ich muss einen Knopf annähen.
"der Nagel, -""";clavo m,uña f;1. Kannst du mir den Nagel in die Wand schlagen? 2. Ich muss mir die Fingernägel schneiden.
nah(e);"";Wie weit ist es zum Bahnhof? – Das ist ganz nah, nur zwei Minuten von hier.
die Nähe;cercanía f,proximidad f,adyacencia f RioPl;Die Post ist ganz in der Nähe.
nächst-;"";1. Wo ist hier die nächste Apotheke? 2. Rufen Sie bitte nächste Woche noch einmal an. 3. Wann fährt der nächste Zug nach Frankfurt? 4. Wer ist der Nächste bitte?
nähen, näht, nähte, hat genäht;coser,suturar;1. Meine Mutter näht ihre Kleider selbst. 2. Wir müssen die Wunde nähen.
naja;Brillenschlange f;Tut mir leid, wir haben schon geschlossen. – Naja, da kann man nichts machen.
der Name, -n;nombre m,denominación f,fama f;1. Wie ist Ihr Name? 2. An den Namen kann ich mich nicht mehr erinnern. 
der Familienname, -n ;apellido m;Ludin ist mein Familienname. 
der Mädchenname, -n ;nombre m de chica,apellido m de soltera;Wie ist Ihr Mädchenname? 
der Vorname, -n;nombre m de pila;Mein Vorname ist Thomas.
nämlich;porque,es que,a saber, o sea;Ich muss leider gehen. Ich habe nämlich noch einen Termin beim Zahnarzt.
die Nase, -n;nariz f,narices f pl fam,jeta f Arg,olfato m;Haben Sie Nasentropfen? Ich bin sehr erkältet.
nass;mojado,calado,empapado,húmedo;1. Es hat schrecklich geregnet. Ich bin ganz nass geworden.2. Geh nicht mit den nassen Schuhen ins Wohnzimmer.
die Natur;naturaleza f,constitución f,índole f,condición f (natural),persona f,personalidad f,carácter m;Ich bin gern draußen in der Natur.
natürlich;natural,natural, lógico,naturalmente, por supuesto;1. Natürlich helfen wir dir. 2. Kommst du auch wirklich zu meinerParty? – Natürlich.
der Nebel, -;niebla f;1. Wegen Nebels konnten wir gestern nicht in Frankfurt landen. 2. Fahren Sie bei Nebel besonders vorsichtig!
neblig;"";Fahr vorsichtig! Es ist neblig.
neben;junto a, al lado de,en comparación con, al lado de,además de,al lado de;1. Neben mir ist noch ein Platz frei. 2. Darf ich mich neben dich setzen? 3. Die Apotheke ist gleich links neben der Post.
nebenan;al lado;Das ist José, er wohnt nebenan.
nebenbei;al mismo tiempo,además,aparte,de pasada;1. Mein Freund studiert Geschichte. Und nebenbei arbeitet er in einer Kneipe. 2. Ich mache die Hausarbeit und nebenbei höre ich Radio.
der Neffe, -n;sobrino m;Mein Neffe studiert Medizin.
negativ;negativo;Du solltest nicht alles negativ sehen.
nehmen, nimmt, nahm, hat genommen;coger,aceptar, tomar,pedir,cobrar,quitar,sacar,tomar, usar,tomar;1. Was möchten Sie? – Ich nehme einen Salat.2. Nehmen Sie die Tabletten vor dem Essen! 3. Wer hat die Flasche aus dem Kühlschrank genommen? 4. Sollen wir ein Taxi nehmen? 5. In diesem Jahr kann ich meinen Urlaub erst im Oktober nehmen.
nein;no;1. Noch ein Bier? – Nein, danke. 2. Kommst du auch mit nach München? – Nein, ich habe keine Zeit.
nennen, nennt, nannte, hat genannt;llamar,decir,recomendar,mencionar,llamar, denominar;1. Mein Freund heißt Alexander, aber alle nennen ihn Alex. 2. Wie nennt man dieses Gerät?
der Nerv, -en;nervio m;Mach bitte das Radio aus. Die Musik geht mir auf die Nerven.
nervös;nervioso;Das Warten macht mich ganz nervös.
nett;amable, simpático,agradable,bonito;1. Die Leute sind hier sehr nett. 2. Ich habe viele nette Kollegen. 3. Vielen Dank! Das ist sehr nett von Ihnen. 4. Die Nachbarn waren sehr nett zu uns.
netto;neto;Mein Bruder verdient netto 1.200 Euro.
neu;nuevo,recién,de nuevo;1. Mein Wagen ist noch ganz neu. 2. Wir haben eine neue Wohnung. 3. Man darf hier nicht mehr rauchen? Das ist mir ganz neu. 
neugierig;curioso por,alcamonero Ven;Die Nachbarn sind ziemlich neugierig.
neulich;el otro día, hace poco;Stell dir vor, ich habe neulich unseren Lehrer gesehen.
nicht;no,verdad;1. Zigarette? - Danke, ich rauche nicht. 2. Wie geht es dir? – Nicht so gut. 3. Das Essen in der Kantine ist gar nicht schlecht. 4. Du kommst immer zu spät! – Das stimmt nicht.
die Nichte, -n ;sobrina f;Die Tasche ist ein Geschenk von meiner Nichte.
der Nichtraucher, -;no fumador(a) m (f);1. In unserer Familie sind alle Nichtraucher.2. Einmal Hamburg, 2. Klasse, Nichtraucher.
nichts;nada;1. Ich habe noch nichts gegessen. 2. Ich weiß auch nichts Genaues. 3. Ich habe nichts zum Schreiben dabei. 4. Entschuldigung! – Das macht nichts.
nie;nunca, jamás;1. Der Chef ist nie da. 2. Warum bist du nie zufrieden? 3. Bis morgen Abend schaffe ich die Arbeit nie. 4. Ich gehe nie wieder in dieses Restaurant.
niedrig;bajo,humilde,vil,infame;1. Die Räume hier sind mir zu niedrig. 2. Für die Jahreszeit sind die Temperaturen zu niedrig. 3. Die Firma zahlt sehr niedrige Löhne.
niemand;nadie;Ich habe geklingelt. Aber es war niemand zu Hause.
nirgends;en ninguna parte, en ningún lugar;1. Ich kann die Quittung nirgends finden. 2. Hier kann man nirgends parken.
nirgendwo;"";Die Schlüssel kann ich nirgendwo finden.
noch;aún, todavía,otro, más;1. Mein Bruder geht noch zur Schule. 2. Bist du fertig. – Nein, noch nicht ganz. 3. Haben Sie noch einen Wunsch? – Ja, bitte noch ein Bier. 4. Sonst noch etwas? – Nein, danke. 5. Ich komme später. Ich muss erst noch einkaufen. 6. Meine Freundin studiert, und abends arbeitet sie noch als Kellnerin. 7. Es ist nicht mehr viel Zeit. Nur noch fünf Minuten. 8. Ich habe nur noch 20 Euro. 9. Ist das Essen schon fertig. – Nein, esdauert noch ein paar Minuten. 10. Ist Amadeo schon da? – Vielleicht kommt er noch.
nochmal;"";1. Vielen Dank nochmal. 2. Bitte sagen Sie das nochmal.
nochmals;otra vez, de nuevo;Nochmals vielen Dank!
normal;normal,corriente,normalmente,regelrecht,vorschriftsmäßig,≈ Pädagogische Hochschule f,Normale f;Fehler zu machen ist doch ganz normal.
normalerweise ;normalmente;Wann haben Sie normalerweise Pause?
der Norden/Nord/Nord-;"";1. Der Wind kommt von Norden. 2. Menschen aus Nord und Süd feiern dieses Fest. 3. z. B. Norddeutschland, Nordbahnhof,Nordwind, ... 
nördlich;del norte, septentrional,al norte de;Mein Dorf liegt nördlich von Köln.
"Not, -""e";escasez f de,falta f de,miseria f,pobreza f,necesidad f,urgencia f,apuro m,situación f apurada,pena f,problem(ill)as m pl,apuros m pl;Die Menschen im Katastrophengebiet leiden große Not.
die Notaufnahme, -en ;admisión f de urgencia;Die Notaufnahme ist gleich hier links.
"der Notausgang, -""e";salida f de emergencia;Der Notausgang ist gleich hier bei der Treppe.
"der Notfall, -""e";(caso m de) emergencia f;1. Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen.2. Im Notfall rufen Sie bitte diese Nummer an.
der Notruf;llamada f de socorro,(número m de) teléfono m de emergencia;Der Notruf hat die Nummer 110.
notwendig;necesario,inevitable;1. Muss ich nochmal wiederkommen? – Nein, das ist nicht notwendig.
die Note, -n;nota f,billete m,toque m;1. Eva hat immer sehr gute Noten in Mathematik.2. Meine Kinder lernen im Musikunterricht gerade Noten lesen.
notieren;cotizar,anotar, apuntar;Ich habe mir den Termin notiert.
die Notiz, -en;nota f,noticia f;1. Ich habe Ihnen eine Notiz geschrieben. 2. Hast du einen Notizzettel für mich?
nötig;necesario, preciso;1. Wenn es nötig ist, nehmen Sie noch eine Tablette.2. Kann ich Ihnen helfen? – Danke, nicht nötig.
die Nudel, -n ;pasta f;Möchten Sie Nudeln oder Reis? – Lieber Nudeln.
die Nummer, -n;número m,matrícula f,(número m de) teléfono m,talla f;1. Ich habe mich in der Hausnummer geirrt. 2. Ich habe die falsche Nummer gewählt. 3. Der Wagen hatte eine Münchner Nummer. 4. Sie haben Zimmer Nummer zwölf. 5. Bitte geben Sie mir Ihre Kontonummer. 6. Haben Sie die Bluse eineNummer kleiner?
nun;ahora,entretanto,pues, bueno,pues bien;1. Schade, dass du arbeiten musst. – Das ist nun mal so.2. Was ist jetzt? Kommst du nun endlich?
nur;sólo, solamente,nomás Arg, Mex, Ven;1. Im Kaufhaus gibt's T-Shirts für nur fünf Euro.2. Ich habe keinen Hunger. Ich möchte nur etwas trinken. 3. Ich habe nur heute Abend Zeit. 4. Kannst du mir Geld leihen? Tut mir leid. Ich habe nur fünf Euro dabei. 
nutzen, nutzt, nutzte, hat genutzt;servir,aprovechar,utilizar, aprovechar;Nutzen Sie unser Angebot.
nützen, nützt, nützte, hat genützt;"";Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.
nützlich;provechoso, útil;Danke für den Tipp. Das war sehr nützlich.
ob;si,lo mismo da que +subj;1. Ich weiß noch nicht, ob ich kommen kann.2. Ob dieser Bus zum Bahnhof fährt, weiß ich nicht.
oben;arriba,en la superficie;1. Wir wohnen oben im 4. Stock. 2. Die Butter liegt im Kühlschrank ganz oben.
ober-;"";Die Wohnung im oberen Stockwerk ist vermietet.
das Obst;fruta f;Obst kaufe ich am liebsten auf dem Markt.
obwohl;aunque, a pesar de que;Obwohl meine Kollegin krank ist, geht sie arbeiten.
oder;o,u,ó,si no;1. Möchten Sie Kaffee oder Tee? 2. Was möchtest du essen? – Ich weiß nicht, entweder eine Suppe oder einen Salat?
"der Ofen, -""";horno m,estufa f;Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.
offen;abierto,suelto,destapado,a granel,vacante,pendiente,franco, abierto;1. Komm rein. Die Haustür ist offen. 2. Ich glaube, der Supermarkt ist jetzt noch offen. 3. Im Sommer schlafe ich immer bei offenem Fenster. 4. Ich habe mit meinem Kollegen ganz offen über mein Problem gesprochen. 5. Einzelne Fragen sind noch offen.
öffentlich;público,en público;1. In der Stadt fahre ich immer mit öffentlichen Verkehrsmitteln. 2. In öffentlichen Gebäuden darf man nicht rauchen.
offiziell;oficial;Sie bekommen von uns eine offizielle Einladung.
öffnen, öffnet, öffnete, hat geöffnet;abrir;1. Wann öffnen die Geschäfte? 2. Kannst du bitte das Fenster öffnen? 3. Kannst Du mir helfen? Ich kann die Dose nicht öffnen. 4. Du öffnest die Datei mit einem Doppelklick. 5. Der Laden ist samstags bis 16 Uhr geöffnet. 6. Bis wann haben Sie geöffnet?
oft/öfter;"";1. Ich treffe mich oft mit meiner Freundin. 2. In letzter Zeit muss ich öfter überstunden machen.
das Obergeschoss;piso m (alto),planta f superior;Hosen finden Sie im Obergeschoss.
ohne;sin,sin contar, excepto;1. Bitte eine Pizza ohne Zwiebeln. 2. Ohne Auto ist es schwer, zur Arbeit zu kommen. 3. Mein Sohn ist einfach mit dem Auto weggefahren, ohne mich zu fragen. 4. In diesem Haus kann man nichts machen, ohne dass die Nachbarn darüber reden.
das Ohr, -en;oreja f,oído m;1. Ich habe Ohrenschmerzen. 2. Das Baby hat aber kleine Ohren!
okay;"";1. Kannst du mich um 8 Uhr vom Bahnhof abholen? – Okay, mach ́ ich. 2. Es tut mir leid, dass ich dich geweckt habe. – Das ist schon okay. Kein Problem.
öko- (ökologisch) ;"";z. B. ökoladen, ökostrom, ökologischer Anbau
das öl, -e;"";1. Es fehlt öl am Salat. 2. Wir heizen mit öl. 3. Können Sie bei meinem Auto bitte das öl kontrollieren?
die Oma, -s;abuela f,abuelita f,nanoya f Guat;Meine Oma ist achtzig Jahre alt geworden.
der Onkel, -;tío m;Nächste Woche fahre ich zu meinem Onkel nach Berlin.
online;en línea;Ich kaufe jetzt viele Sachen online. Das ist oft billiger.
der Opa, -s ;abuelo m,abuelito m;Mein Opa heißt Hans.
die Oper, -n;ópera f;1. Ich mag Opern. 2. Warst du schon mal in der Oper?
operieren, operiert, operierte, hat operiert;operar, intervenir quirúrgicamente,operar,proceder, operar,operar de;Wir müssen das Knie sofort operieren.
die Operation, -en ;operación f;Seit der Operation kann ich mein Knie nicht mehr bewegen.
das Opfer, -;ofrenda f,sacrificio m por,víctima f;Bei der Schiffskatastrophe gab es viele Opfer.
optimistisch;optimista;Glaubst du, dass du den Job bekommst? – Ja, ich bin ganz optimistisch.
die Orange, -n ;naranja f,naranja m;Ich esse gern Orangen.
das Orchester, -;orquesta f;Auf unserer Hochzeit hat ein kleines Orchester gespielt.
ordentlich;ordenado,ordinario,numerario,respetable,bueno,bastante bueno, aceptable,ordenadamente,como es debido,bastante,mucho;1. Mein Bruder ist ein sehr ordentlicher Mensch. 2. Auf seinem Schreibtisch sieht es immer sehr ordentlich aus.
ordnen, ordnet, ordnete, hat geordnet;ordenar,poner en orden,archivar;Letztes Wochenende habe ich meine Papiere geordnet.
der Ordner, - ;archivador m,carpeta f,persona f del servicio de orden;Für meine übungen im Deutschkurs habe ich mir einen Ordner gekauft.
die Ordnung;orden m,reglamento m;1. Mach mal etwas Ordnung in deinem Zimmer!2. Bitte beachten Sie die Hausordnung. 3. Mit dem Motor ist etwas nicht in Ordnung.
organisieren, organisiert, organisierte, hat organisiert;organizar,proporcionar,robar, mangar;Für den nächsten Sommerurlaub habe ich schon alles organisiert.
die Organisation, -en;organización f;1. Wer macht bei Ihnen die Organisation? 2. Sind Sie Mitglied in einer Organisation?
das Original, -e ;original m,persona f original;Das Original ist für Sie. Wir bekommen die Kopie.
der Ort, -e;lugar m,sitio m,población f,pueblo m,aldea f,ciudad f;Vergessen Sie Ort und Datum nicht.
der Vorort ;suburbio m,barrio m periférico;Mein Bruder wohnt in einem Vorort von Hamburg.
der Wohnort;domicilio m;Tragen Sie bitte auch Ihren Wohnort ein.
örtlich;local;Die Nummer finden Sie im örtlichen Telefonbuch.
der Osten/Ost/Ost-;"";1. Das Zimmer geht nach Osten. 2. Die Grenze zwischen Ost und West wurde geöffnet. 3. z. B. Ostbahnhof, Osteuropa, Ostseite, Ostwind
östlich;del este, oriental,al este de;Der Stadtteil liegt östlich vom Zentrum.
(ein) paar;"";1. Ich komme gleich. Es dauert nur ein paar Minuten.2. Wir fahren mit ein paar Freunden in Urlaub.
das Paar, -e;pareja f;1. Ina und Pedro sind ein Paar. 2. Gestern habe ich mir ein Paar neue Schuhe gekauft. 3. Ich hätte gern drei Paar Würstchen,bitte.
das Päckchen, -;paquete m,cajetilla f,pequeño paquete m;Meine Tante hat mir ein Päckchen geschickt.
packen, packt, packte, hat gepackt;coger por,agarrar por,poner en,meter en,entonelar en,envasar en,envolver en,entusiasmar,cautivar,sobrecoger,conseguir, lograr,entender, captar,hacer las maletas;Ich muss noch meinen Koffer packen.
das Paket, -e ;paquete m;Hast du das Paket zur Post gebracht?
die Panne, -n;avería f,contratiempo m,plancha f;1. Kurz vor München hatten wir eine Panne mit dem Auto. 2. Die Reise war schlecht organisiert, es gab eine Panne nach der anderen.
der Papa, -s ;papá m;Heute holt dich der Papa von der Schule ab.
das Papier, -e;papel m,documento m,papeles m pl,documentación f,efecto m,título m;1. Hast du ein Blatt Papier für mich? 2. Bitte bringen Sie zu dem Termin alle Papiere mit.
parallel ;paralelo a;Die Goethestraße ist parallel zur Hauptstraße.
das Parfüm, -s;perfume m;Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.
der Park, -s;parque m;Ich gehe gern im Park spazieren.
parken, parkt, parkte, hat geparkt;aparcar,estacionar;1. Hier dürfen Sie nicht parken. 2. Hier ist Parken verboten.
"das Parkhaus, -""er";aparcamiento m,parking m;Am besten fahren wir gleich ins Parkhaus.
" der Parkplatz, -""e ";aparcamiento m,estacionamiento m;Um diese Uhrzeit finden wir sicher keinen Parkplatz.
die Parkuhr, -en;parquímetro m;Für die Parkuhr brauchst du Kleingeld.
der Partner, -;compañero(-a) m (f),pareja f,cónyuge mf,interlocutor(a) m (f),compañero, -a m, f de juego,partenaire mf,compañero, -a m, f de reparto,socio(-a) m (f);1. Wir haben das Geschäft zusammen. Wir sind Partner. 2. Beide Partner kümmern sich um die Kinder. 3. Herr Aydin ist mein Geschäftspartner.
die Party, -s ;fiesta f,guateque m;Letzte Woche war ich auf einer Geburtstagsparty.
"der Pass, -""e";pasaporte m,puerto m (de montaña),pase m;1. Ich muss meinen Pass verlängern lassen. 2. Im Hotel brauchst du bei der Anmeldung deinen Pass.
der Passagier, -e;pasajero(-a) m (f);Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.
passen, passt, passte, hat gepasst;sentar [oder estar] bien,caber en,entrar en,ajustarse a,pegar con,encajar con en,venir bien, convenir,pasar,no poder contestar,encajar;1. Der Pullover passt mir nicht mehr. 2. Der Schlüssel passt nicht ins Schloss. 3. Wann soll ich kommen? Passt es Ihnen morgen Abend?
passieren, passiert, passierte, ist passiert;pasar,cruzar, atravesar,tamizar;1. Entschuldigung! – Kein Problem. Es ist nichts passiert. 2. Wie ist der Unfall passiert? 3. Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.
passiv ;pasivo;Man sollte im Kurs nicht passiv sein, sondern mitdiskutieren.
der Patient, -en;paciente mf;Ich bin Patientin bei Dr. Hausner. Kann ich einen Termin haben?
die Pause, -n ;pausa f,descanso m,recreo m,intermedio m,intervalo m,espera f,copia f,calco m;Wir machen zehn Minuten Pause.
das Pech;pez f,desgracia f,mala suerte f;1. Es regnet. Unser Picknick fällt leider aus. – So ein Pech! 2. Wir hatten im Urlaub Pech mit dem Wetter.
die Pension, -en;jubilación f,pensión f;1. Im Urlaub haben wir in einer kleinen Pension gewohnt.2. Eine Tante von mir war Beamtin und bekommt jetzt eine sehr gute Pension.
pensioniert;"";Mein Nachbar ist seit drei Jahren pensioniert.
per;por;Wie kann ich mich für den Kurs anmelden? – Per Fax oder E-Mail.
perfekt ;perfecto,arreglado;Die Reiseorganisation war perfekt.
die Person, -en;persona f,personaje m;Eintritt pro Person: 2 Euro.
persönlich;personal,en persona;1. Hier gibt es zu viele Autos. Das ist meine persönliche Meinung.2. Ich muss Herrn Meier persönlich sprechen.3. Dafür müssen Sie persönlich vorbeikommen.
das Personal ;personal m;Dieser Eingang ist nur für das Personal.  
der Pfeffer ;pimienta f;Bringen Sie uns bitte Pfeffer und Salz. 
das Pferd, -e ;caballo m,pingo m CSur,potro m;Meine Tochter wünscht sich ein Pferd.
die Pflanze, -n;planta f;Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.
das Pflaster, -;pavimento m,adoquinado m,esparadrapo m,tirita f;Hast du ein Pflaster? Ich habe mich geschnitten.
die Pflaume, -n;ciruela f,ciruelo m,pedazo m de alcornoque,tonto(-a) m (f);Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.
pflegen, pflegt, pflegte, hat gepflegt;cuidar,atender,asistir elev,conservar,mantener,cultivar,ejercer,soler +inf;Meine Mutter ist sehr krank. Ich muss sie pflegen.
der Pfleger, -;enfermero(-a) m (f),cuidador(a) m(f) de animales,tutor(a) m (f);Meine Freundin hat eine Stelle als Altenpflegerin gefunden.
die Pflegeversicherung, -en;seguro de enfermedad para casos de invalidez;Für die Pflegeversicherung muss ich jeden Monat Beiträge zahlen.
die Pflicht, -en;deber m,obligación f,ejercicio m obligatorio;Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.
die Phantasie, -n ;"";(siehe Fantasie)
die Philosophie, -n;filosofía f;Meine Kinder haben in der Schule einmal in der Woche Philosophieunterricht.
die Physik ;física f;Mein Schwiegersohn studiert Physik. 
das Picknick, -s ;picnic m;Am Sonntag machen wir ein Picknick.
die Pille, -n;pastilla f,píldora f (anticonceptiva);Der Arzt hat mir neue Pillen verschrieben.
der Pilz, -e;hongo m,seta f,nanacate m Mex;Haben Sie frische Pilze? 
der PKW, -s (Personenkraftwagen, -);"";Das Parkhaus ist nur für PKWs.
planen, plant, plante, hat geplant;proyectar,tener la intención de,planear,planificar;1. Wir haben geplant, diesmal im Urlaub nach österreich zu fahren. 2. Unser Familientreffen ist für Juni geplant.
"der Plan, -""e";plan m,proyecto m,intención f,plano m;1. Was macht ihr im Sommer? Ich weiß noch nicht, wir haben noch keine Pläne.2. Haben Sie einen Stadtplan von Berlin?
das Plastik ;plástico m,escultura f,plastia f;Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?
"der Platz, -""e";sitio m,lugar m,plaza f,campo m,pista f,asiento m,puesto m;1. In unserer Wohnung haben wir nicht genug Platz.2. Ist dieser Platz noch frei? 3. Nehmen Sie bitte Platz. 4. Die Post ist am Marktplatz.
plötzlich;súbito, repentino,de repente;Es war zuerst so schön. Plötzlich hat es angefangen zu regnen.
die Politik;política f;Ich interessiere mich nicht für Politik.
der Politiker, -;político(-a) m (f);Weißt du, wie dieser Politiker heißt?
politisch;político;1. Ich diskutiere mit meinem Schwieger- vater oft über politische Probleme. 2. über meine politische Meinung möchte ich nicht sprechen.
die Polizei;policía f;1. Mein Bruder ist bei der Polizei. 2. Rufen Sie bitte die Polizei.
der Polizist, -en ;policía mf,guardia mf fam,vigilante mf CSur;Die Ampel war kaputt. Ein Polizist hat den Verkehr geregelt.
die Pommes frites (Pl.);patatas f pl fritas;Die Kinder essen gern Würstchen mit Pommes frites.
die Portion, -en;ración f;1. Bitte, eine Portion Sahne! 2. Ich nehme eine kleine Portion Eis.
positiv;positivo;1. Wir haben eine positive Nachricht für Sie. Sie bekommen die Stelle.2. Man muss positiv denken.
die Post;Correos m pl,(oficina f de) Correos m pl,correo m;1. Meine Frau arbeitet bei der Post. 2. Die Post macht erst um 8 Uhr auf. 3. Ist Post für mich da?
"das Postfach, -""er ";apartado m de Correos,apartado m postal,box m AmC;Du musst den Brief an das Postfach schicken.
die Postkarte, -n ;(tarjeta f ) postal f;Ich schicke dir aus dem Urlaub eine Postkarte.
